Lower tier local authorities Code,Lower tier local authorities,Occupation (current) (10 categories),Observation
E09000020,Kensington and Chelsea,3. Associate professional and technical occupations,12294
E09000020,Kensington and Chelsea,4. Administrative and secretarial occupations,4117
E09000020,Kensington and Chelsea,5. Skilled trades occupations,2221
E09000020,Kensington and Chelsea,"6. Caring, leisure and other service occupations",5064
E09000020,Kensington and Chelsea,7. Sales and customer service occupations,3182
E09000020,Kensington and Chelsea,"8. Process, plant and machine operatives",1678
E09000020,Kensington and Chelsea,9. Elementary occupations,3214
E09000021,Kingston upon Thames,Does not apply,83915
E09000021,Kingston upon Thames,"1. Managers, directors and senior officials",14674
E09000021,Kingston upon Thames,2. Professional occupations,23933
E09000021,Kingston upon Thames,3. Associate professional and technical occupations,13140
E09000021,Kingston upon Thames,4. Administrative and secretarial occupations,7171
E09000021,Kingston upon Thames,5. Skilled trades occupations,5769
E09000021,Kingston upon Thames,"6. Caring, leisure and other service occupations",5947
E09000021,Kingston upon Thames,7. Sales and customer service occupations,5296
E09000021,Kingston upon Thames,"8. Process, plant and machine operatives",2854
E09000021,Kingston upon Thames,9. Elementary occupations,5364
E09000022,Lambeth,Does not apply,134835
E09000022,Lambeth,"1. Managers, directors and senior officials",25695
E09000022,Lambeth,2. Professional occupations,55140
E09000022,Lambeth,3. Associate professional and technical occupations,34580
E09000022,Lambeth,4. Administrative and secretarial occupations,12564
E09000022,Lambeth,5. Skilled trades occupations,9463
E09000022,Lambeth,"6. Caring, leisure and other service occupations",13130
E09000022,Lambeth,7. Sales and customer service occupations,8956
E09000022,Lambeth,"8. Process, plant and machine operatives",6187
E09000022,Lambeth,9. Elementary occupations,17104
E09000023,Lewisham,Does not apply,144841
E09000023,Lewisham,"1. Managers, directors and senior officials",20155
E09000023,Lewisham,2. Professional occupations,41888
E09000023,Lewisham,3. Associate professional and technical occupations,27269
E09000023,Lewisham,4. Administrative and secretarial occupations,11892
E09000023,Lewisham,5. Skilled trades occupations,10473
E09000023,Lewisham,"6. Caring, leisure and other service occupations",13363
