areaCode,borough,occupationType,jobholders
E09000027,Richmond upon Thames,Managers and directors and senior officials,23031
E09000027,Richmond upon Thames,Professional occupations,30417
E09000027,Richmond upon Thames,Associate professional and technical occupations,17549
E09000027,Richmond upon Thames,Administrative and secretarial occupations,6935
E09000027,Richmond upon Thames,Skilled trades occupations,4478
E09000027,Richmond upon Thames,Caring and leisure and other service occupations,5468
E09000027,Richmond upon Thames,Sales and customer service occupations,3749
E09000027,Richmond upon Thames,Process and plant and machine operatives,2187
E09000027,Richmond upon Thames,Elementary occupations,3752
E09000028,Southwark,Managers and directors and senior officials,23109
E09000028,Southwark,Professional occupations,51143
E09000028,Southwark,Associate professional and technical occupations,28878
E09000028,Southwark,Administrative and secretarial occupations,11443
E09000028,Southwark,Skilled trades occupations,8030
E09000028,Southwark,Caring and leisure and other service occupations,12816
E09000028,Southwark,Sales and customer service occupations,8705
E09000028,Southwark,Process and plant and machine operatives,5990
E09000028,Southwark,Elementary occupations,16833
E09000029,Sutton,Managers and directors and senior officials,14604
E09000029,Sutton,Professional occupations,25047
E09000029,Sutton,Associate professional and technical occupations,14218
E09000029,Sutton,Administrative and secretarial occupations,11239
E09000029,Sutton,Skilled trades occupations,10383
E09000029,Sutton,Caring and leisure and other service occupations,9022
E09000029,Sutton,Sales and customer service occupations,6802
E09000029,Sutton,Process and plant and machine operatives,5380
E09000029,Sutton,Elementary occupations,7527
E09000030,Tower Hamlets,Managers and directors and senior officials,20628
E09000030,Tower Hamlets,Professional occupations,49021
E09000030,Tower Hamlets,Associate professional and technical occupations,27819
E09000030,Tower Hamlets,Administrative and secretarial occupations,11184
E09000030,Tower Hamlets,Skilled trades occupations,7508
E09000030,Tower Hamlets,Caring and leisure and other service occupations,9276
E09000030,Tower Hamlets,Sales and customer service occupations,10470
E09000030,Tower Hamlets,Process and plant and machine operatives,6949
E09000030,Tower Hamlets,Elementary occupations,12537
E09000031,Waltham Forest,Managers and directors and senior officials,17473
E09000031,Waltham Forest,Professional occupations,32185
E09000031,Waltham Forest,Associate professional and technical occupations,21194
E09000031,Waltham Forest,Administrative and secretarial occupations,11608
E09000031,Waltham Forest,Skilled trades occupations,14037
E09000031,Waltham Forest,Caring and leisure and other service occupations,10474
E09000031,Waltham Forest,Sales and customer service occupations,9284
E09000031,Waltham Forest,Process and plant and machine operatives,8341
E09000031,Waltham Forest,Elementary occupations,15776
E09000032,Wandsworth,Managers and directors and senior officials,35827
E09000032,Wandsworth,Professional occupations,61870
E09000032,Wandsworth,Associate professional and technical occupations,37329
E09000032,Wandsworth,Administrative and secretarial occupations,13285
E09000032,Wandsworth,Skilled trades occupations,7838
E09000032,Wandsworth,Caring and leisure and other service occupations,11073
